"tablescraper-selected-row,""tablescraper-selected-row 2"",""tablescraper-selected-row href"",""tablescraper-selected-row src"",""tablescraper-selected-row 3"",""tablescraper-selected-row 4"",""tablescraper-selected-row 5"",""tablescraper-selected-row 6"",""tablescraper-selected-row src 2"""
"79,""Schaffenrath Lukas"",""https://itra.run/RunnerSpace/Schaffenrath.Lukas/525028"",""https://itra.run/images/member-pics/default.jpg"",""10:07:18"",""29"",""H"",""AUT"",""https://itra.run/images/CountryFlags/at.svg"""
"80,""GRUA SANCHEZ Jose Manuel"",""https://itra.run/RunnerSpace/GRUA%20SANCHEZ.Jose%20Manuel/1770135"",""https://itra.run/Files/Photos/ad7bfb2423174919a682a336fadae976.jpg"",""10:07:24"",""37"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"81,""PIERSON Blake"",""https://itra.run/RunnerSpace/PIERSON.Blake/667145"",""https://itra.run/Files/Photos/pic148995_0ccb2cc6.jpg"",""10:07:39"",""36"",""H"",""USA"",""https://itra.run/images/CountryFlags/us.svg"""
"82,""MENDEZ DIAZ Miguel"",""https://itra.run/RunnerSpace/MENDEZ%20DIAZ.Miguel/606607"",""https://itra.run/images/member-pics/default.jpg"",""10:09:58"",""41"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"83,""BARTRA Gaspar"",""https://itra.run/RunnerSpace/BARTRA.Gaspar/742729"",""https://itra.run/images/member-pics/default.jpg"",""10:10:59"",""30"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"84,""Sanante Sara"",""https://itra.run/RunnerSpace/Sanante.Sara/742730"",""https://itra.run/images/member-pics/default.jpg"",""10:11:00"",""30"",""F"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"85,""CARDUS MARCOS Joan"",""https://itra.run/RunnerSpace/CARDUS%20MARCOS.Joan/477122"",""https://itra.run/Files/Photos/pic76799_7bc265a3.jpg"",""10:11:12"",""28"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"86,""RAMOS RODRIGUEZ Pedro Miguel"",""https://itra.run/RunnerSpace/RAMOS%20RODRIGUEZ.Pedro%20Miguel/11801"",""https://itra.run/images/member-pics/default.jpg"",""10:13:43"",""49"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"87,""CLEMENT Mathieu"",""https://itra.run/RunnerSpace/CLEMENT.Mathieu/764508"",""https://itra.run/Files/Photos/pic16349_d99f9c0b.jpg"",""10:14:03"",""24"",""H"",""SUI"",""https://itra.run/images/CountryFlags/ch.svg"""
"88,""ESTUPINAN QUEVEDO Nestor"",""https://itra.run/RunnerSpace/ESTUPINAN%20QUEVEDO.Nestor/11766"",""https://itra.run/images/member-pics/default.jpg"",""10:14:12"",""42"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"89,""PLANAS PLAZA David"",""https://itra.run/RunnerSpace/PLANAS%20PLAZA.David/878363"",""https://itra.run/images/member-pics/default.jpg"",""10:14:34"",""37"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"90,""RODRIGUEZ BRITO Alexis"",""https://itra.run/RunnerSpace/RODRIGUEZ%20BRITO.Alexis/11875"",""https://itra.run/images/member-pics/default.jpg"",""10:15:11"",""38"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"91,""DAMMANN Moritz"",""https://itra.run/RunnerSpace/DAMMANN.Moritz/2236185"",""https://itra.run/images/member-pics/default.jpg"",""10:15:26"",""31"",""H"",""GER"",""https://itra.run/images/CountryFlags/de.svg"""
"92,""Garrido Javier"",""https://itra.run/RunnerSpace/Garrido.Javier/2139575"",""https://itra.run/images/member-pics/default.jpg"",""10:15:45"",""42"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"93,""GRANWEHR Thomas"",""https://itra.run/RunnerSpace/GRANWEHR.Thomas/2105623"",""https://itra.run/images/member-pics/default.jpg"",""10:17:03"",""40"",""H"",""SUI"",""https://itra.run/images/CountryFlags/ch.svg"""
"94,""GARCIA LOPEZ Ramon"",""https://itra.run/RunnerSpace/GARCIA%20LOPEZ.Ramon/222832"",""https://itra.run/images/member-pics/default.jpg"",""10:17:47"",""49"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"95,""Epelde Etxaniz Ruben"",""https://itra.run/RunnerSpace/Epelde%20Etxaniz.Ruben/993913"",""https://itra.run/images/member-pics/default.jpg"",""10:18:06"",""46"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"96,""PATTISON Kristina"",""https://itra.run/RunnerSpace/PATTISON.Kristina/247664"",""https://itra.run/images/member-pics/default.jpg"",""10:18:14"",""39"",""F"",""USA"",""https://itra.run/images/CountryFlags/us.svg"""
"97,""HERVAULT Yves Marie"",""https://itra.run/RunnerSpace/HERVAULT.Yves%20Marie/867940"",""https://itra.run/Files/Photos/pic14555_aa064054.jpg"",""10:18:44"",""49"",""H"",""FRA"",""https://itra.run/images/CountryFlags/fr.svg"""
"98,""GALLARDO DENIZ Juan David"",""https://itra.run/RunnerSpace/GALLARDO%20DENIZ.Juan%20David/12340"",""https://itra.run/images/member-pics/default.jpg"",""10:19:22"",""45"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"99,""Vollan Johansson Andre"",""https://itra.run/RunnerSpace/Vollan%20Johansson.Andre/1421847"",""https://itra.run/images/member-pics/default.jpg"",""10:22:32"",""39"",""H"",""SWE"",""https://itra.run/images/CountryFlags/se.svg"""
"100,""brochard Blaise"",""https://itra.run/RunnerSpace/brochard.Blaise/187626"",""https://itra.run/Files/Photos/pic98639_e8040542.jpg"",""10:24:58"",""53"",""H"",""USA"",""https://itra.run/images/CountryFlags/us.svg"""
"101,""Normand Rachel"",""https://itra.run/RunnerSpace/Normand.Rachel/2101055"",""https://itra.run/Files/Photos/pic159827_5ebdb5a3.jpg"",""10:26:07"",""33"",""F"",""GBR"",""https://itra.run/images/CountryFlags/gb.svg"""
"102,""HERNANDO ANGULO Ignacio"",""https://itra.run/RunnerSpace/HERNANDO%20ANGULO.Ignacio/3059091"",""https://itra.run/images/member-pics/default.jpg"",""10:26:36"",""26"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"103,""HERNANDEZ SANTOS Roberto"",""https://itra.run/RunnerSpace/HERNANDEZ%20SANTOS.Roberto/634841"",""https://itra.run/images/member-pics/default.jpg"",""10:27:17"",""46"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"104,""POGGI Nicola"",""https://itra.run/RunnerSpace/POGGI.Nicola/425710"",""https://itra.run/images/member-pics/default.jpg"",""10:27:42"",""40"",""H"",""ITA"",""https://itra.run/images/CountryFlags/it.svg"""
"105,""MATEO CHINCHILL Gorka"",""https://itra.run/RunnerSpace/MATEO%20CHINCHILL.Gorka/3059093"",""https://itra.run/images/member-pics/default.jpg"",""10:28:25"",""36"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"106,""GOMIS Enrique"",""https://itra.run/RunnerSpace/GOMIS.Enrique/1160511"",""https://itra.run/Files/Photos/pic141727_74619c18.jpg"",""10:29:27"",""26"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
