"47,""193"",""Jesus Manuel GONZALEZ MENDEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535748323&method=ResAtletaUid"",""45"",""18 VETA-M"",""VETA"",""TENERIFE TRAIL"",""17:00:57"",""10:31"",""05:31:10"",""14006"",""M"",""25 LOC-M""";
"48,""71"",""Paco CASTILLO CARRASCAL"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1485977304814&method=ResAtletaUid"",""46"",""19 VETA-M"",""VETA"",""palleja"",""17:01:00"",""10:31"",""05:31:13"",""14006"",""M"",""""";
"49,""351"",""Iván PÉREZ CARLOS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705239068&method=ResAtletaUid"",""47"",""26 SEN-M"",""SEN"",""TENERIFETRAIL"",""17:04:09"",""10:33"",""05:34:22"",""14008"",""M"",""26 LOC-M""";
"50,""146"",""Jose Juan GARCESO CAMACHO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535749952&method=ResAtletaUid"",""48"",""27 SEN-M"",""SEN"",""PUNTA BRAVA RUNNERS"",""17:06:05"",""10:34"",""05:36:18"",""14008"",""M"",""27 LOC-M""";
"51,""462"",""Kevin SUAREZ SANTIAGO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705225601&method=ResAtletaUid"",""49"",""28 SEN-M"",""SEN"",""-"",""17:08:37"",""10:36"",""05:38:50"",""14008"",""M"",""""";
"52,""379"",""Francisco  QUINTANA SANCHEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535749837&method=ResAtletaUid"",""50"",""20 VETA-M"",""VETA"",""Guagua infinito Trail"",""17:19:42"",""10:43"",""05:49:55"",""14006"",""M"",""""";
"53,""90"",""Ivan Pablo DE LEON HERNANDEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1490814694025&method=ResAtletaUid"",""51"",""29 SEN-M"",""SEN"",""Parrandas Team"",""17:23:16"",""10:45"",""05:53:29"",""14008"",""M"",""28 LOC-M""";
"54,""68"",""Juan Antonio CARREÑO CLEMENTE"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1494461103157&method=ResAtletaUid"",""52"",""21 VETA-M"",""VETA"",""The Box Running Club"",""17:29:32"",""10:49"",""05:59:45"",""14006"",""M"",""""";
"55,""37"",""Pablo David BARROSO FAJARDO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705237876&method=ResAtletaUid"",""53"",""30 SEN-M"",""SEN"",""-"",""17:29:52"",""10:49"",""06:00:05"",""14008"",""M"",""29 LOC-M""";
"56,""294"",""Ana Belén  MARTÍN GONZÁLEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535752763&method=ResAtletaUid"",""3-F"",""2 VETA-F"",""VETA"",""GOT TEAM"",""17:32:39"",""10:51"",""06:02:52"",""14004"",""F"",""1 LOC-F""";
